timestamp,elapsed_time,alpha,alpha_geo,alpha_vel,alpha_alignment,Q_norm,R_norm,K_norm
1772465828.304369,0.019415,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.036061
1772465828.305069,0.020114,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.023182
1772465828.314483,0.029529,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.051452
1772465828.326415,0.041461,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.974652
1772465828.339132,0.054178,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.025980
1772465828.351681,0.066727,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.059818
1772465828.364708,0.079754,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.132427
1772465828.376317,0.091363,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.866129
1772465828.387994,0.103040,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.026150
1772465828.400641,0.115687,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.074748
1772465828.414363,0.129409,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.145922
1772465828.426616,0.141662,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.001492
1772465828.440208,0.155254,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.992912
1772465828.451229,0.166274,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.030473
1772465828.463122,0.178168,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.929431
1772465828.475533,0.190578,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.074936
1772465828.488373,0.203418,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.171338
1772465828.501548,0.216594,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.067308
1772465828.513498,0.228544,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.958805
1772465828.526112,0.241158,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.034460
1772465828.539008,0.254053,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.070694
1772465828.551874,0.266920,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.098919
1772465828.564759,0.279804,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.981687
1772465828.575389,0.290435,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.883718
1772465828.587960,0.303006,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.072023
1772465828.601794,0.316839,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.189490
1772465828.614268,0.329314,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.052023
1772465828.625013,0.340058,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.859725
1772465828.639363,0.354409,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.161171
1772465828.651911,0.366957,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.045211
1772465828.664516,0.379561,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.982736
1772465828.675245,0.390290,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.903583
1772465828.687686,0.402732,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.083291
1772465828.701044,0.416090,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.207963
1772465828.714580,0.429626,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.043110
1772465828.726355,0.441400,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.930636
1772465828.738405,0.453450,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.978854
1772465828.752238,0.467284,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.147426
1772465828.764305,0.479350,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.969410
1772465828.776661,0.491707,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.077961
1772465828.788244,0.503290,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.002792
1772465828.801624,0.516669,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.053337
1772465828.814389,0.529434,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.069422
1772465828.825494,0.540540,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.924026
1772465828.838502,0.553548,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.154599
1772465828.850817,0.565863,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.010882
1772465828.864231,0.579277,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.054624
1772465828.876025,0.591071,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.970787
1772465828.887950,0.602996,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.032961
1772465828.899843,0.614889,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.020695
1772465828.912339,0.627385,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.089868
1772465828.925199,0.640245,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.115395
1772465828.937903,0.652949,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.086687
1772465828.951132,0.666178,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.073102
1772465828.963739,0.678785,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.938559
1772465828.974950,0.689996,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.908973
1772465828.988061,0.703107,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.125116
1772465828.999965,0.715010,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,13.999616
1772465829.013437,0.728482,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.103727
1772465829.025033,0.740079,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.014753
1772465829.038145,0.753191,0.822727,0.306987,1.000000,0.000000,0.339961,1.561124,14.094335
